Conv0, Conv1, Conv2, Conv3, Conv4, Conv5, Conv6, Conv7, Conv8, Conv9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #134
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #133
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #132
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #131
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #130
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #129
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #128
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #127
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #126
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #125
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #124
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #123
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #122
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #121
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #120
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #119
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #118
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #117
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #116
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #115
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #114
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #113
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #112
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #111
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #110
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #109
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #108
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #107
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #106
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #105
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #104
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #103
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #102
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #101
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #100
0, 0, 1, 0, 1, 0, 0, 0, 0, 0, PIXEL #99
1, 1, 1, 1, 0, 0, 0, 0, 0, 0, PIXEL #98
1, 1, 1, 1, 0, 0, 0, 0, 0, 0, PIXEL #97
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, PIXEL #96
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, PIXEL #95
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #94
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #93
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #92
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #91
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #90
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #89
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #88
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #87
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #86
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #85
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #84
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #83
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #82
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, PIXEL #81
